Block,Point,Points_0,Points_1,Points_2,Points_Magnitude,ids,,r0,r1,t0,t1,vol
block_2,807,25.275,0.61875,0,25.2826,13023,,,,,,
block_2,804,25.275,0.5625,0,25.2813,3364,,,,,,
block_2,803,25.275,0.50625,0,25.2801,13020,,,,,,
block_2,760,25.275,0.45,0,25.279,3356,,,,,,
block_2,759,25.275,0.39375,0,25.2781,12987,,,,,,
block_2,756,25.275,0.3375,0,25.2773,3355,,,,,,
block_2,755,25.275,0.28125,0,25.2766,12984,,,,,,
block_2,742,25.275,0.225,0,25.276,3353,,,,,,
block_2,741,25.275,0.16875,0,25.2756,12974,,,,,,
block_2,738,25.275,0.1125,0,25.2753,3351,,,,,,
block_2,736,25.275,0.05625,0,25.2751,12971,,,,,,
block_2,737,25.275,0,0,25.275,3352,,,,,,
block_2,1078,25.2125,1.8,0,25.2767,13226,,,,,,
block_2,1077,25.2125,1.74375,0,25.2727,13225,,,,,,
block_2,1074,25.2125,1.6875,0,25.2689,13223,,,,,,
block_2,1073,25.2125,1.63125,0,25.2652,13222,,,,,,
block_2,1062,25.2125,1.575,0,25.2616,13214,,,,,,
block_2,1061,25.2125,1.51875,0,25.2582,13213,,,,,,
block_2,1058,25.2125,1.4625,0,25.2549,13211,,,,,,
block_2,1057,25.2125,1.40625,0,25.2517,13210,,,,,,
block_2,1014,25.2125,1.35,0,25.2486,13178,,,,,,
block_2,1013,25.2125,1.29375,0,25.2457,13177,,,,,,
block_2,1010,25.2125,1.2375,0,25.2429,13175,,,,,,
block_2,1009,25.2125,1.18125,0,25.2402,13174,,,,,,
block_2,998,25.2125,1.125,0,25.2376,13166,,,,,,
block_2,997,25.2125,1.06875,0,25.2351,13165,,,,,,
block_2,994,25.2125,1.0125,0,25.2328,13163,,,,,,
block_2,993,25.2125,0.95625,0,25.2306,13162,,,,,,
block_2,822,25.2125,0.9,0,25.2286,13034,,,,,,
block_2,821,25.2125,0.84375,0,25.2266,13033,,,,,,
block_2,818,25.2125,0.7875,0,25.2248,13031,,,,,,
block_2,817,25.2125,0.73125,0,25.2231,13030,,,,,,
block_2,806,25.2125,0.675,0,25.2215,13022,,,,,,
block_2,805,25.2125,0.61875,0,25.2201,13021,,,,,,
block_2,802,25.2125,0.5625,0,25.2188,13019,,,,,,
block_2,801,25.2125,0.50625,0,25.2176,13018,,,,,,
block_2,758,25.2125,0.45,0,25.2165,12986,,,,,,
block_2,757,25.2125,0.39375,0,25.2156,12985,,,,,,
block_2,754,25.2125,0.3375,0,25.2148,12983,,,,,,
block_2,753,25.2125,0.28125,0,25.2141,12982,,,,,,
block_2,740,25.2125,0.225,0,25.2135,12973,,,,,,
block_2,739,25.2125,0.16875,0,25.2131,12972,,,,,,
block_2,735,25.2125,0.1125,0,25.2128,12970,,,,,,
block_2,733,25.2125,0.05625,0,25.2126,12968,,,,,,
block_2,734,25.2125,0,0,25.2125,12969,,,,,,
block_2,1056,25.15,1.8,0,25.2143,908,,,,,,
block_2,1055,25.15,1.74375,0,25.2104,13209,,,,,,
block_2,1052,25.15,1.6875,0,25.2065,3411,,,,,,
block_2,1051,25.15,1.63125,0,25.2028,13206,,,,,,
block_2,1040,25.15,1.575,0,25.1993,907,,,,,,
block_2,1039,25.15,1.51875,0,25.1958,13197,,,,,,
block_2,1036,25.15,1.4625,0,25.1925,3408,,,,,,
block_2,1035,25.15,1.40625,0,25.1893,13194,,,,,,
block_2,992,25.15,1.35,0,25.1862,905,,,,,,
block_2,991,25.15,1.29375,0,25.1833,13161,,,,,,
block_2,988,25.15,1.2375,0,25.1804,3399,,,,,,
block_2,987,25.15,1.18125,0,25.1777,13158,,,,,,
block_2,976,25.15,1.125,0,25.1751,904,,,,,,
block_2,975,25.15,1.06875,0,25.1727,13149,,,,,,
block_2,972,25.15,1.0125,0,25.1704,3396,,,,,,
